grid_lat,grid_lon,n_compound_events_days,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m,latitude_band,abs_lat
-25.4,-47.6,463,1.3954965274547657,0.6340491454814989,-0.015127507289888206,0.2682302575607068,SC/PR,25.4
-25.2,-47.8,439,1.3705590401803716,0.5382820521508915,-0.018188386424632646,0.3144223392972689,SC/PR,25.2
-25.2,-47.6,464,1.3993763448927423,0.6070902588102838,-0.02010995698123027,0.29044927175125546,SC/PR,25.2
-25.0,-47.8,372,1.2791514600236569,0.43832842955185525,-0.004861388637806243,0.3378223628693699,SP/RJ,25.0
-25.0,-47.6,461,1.3986029186308255,0.5874074020445218,-0.022128213857301085,0.31460403402868625,SP/RJ,25.0
-25.0,-47.4,487,1.3922372699824204,0.6204121590700973,-0.023875935986393624,0.29640422953010037,SP/RJ,25.0
-25.0,-47.2,497,1.3767689349006118,0.6462702395270767,-0.025975460766007038,0.274651895632037,SP/RJ,25.0
-24.8,-47.4,470,1.3909191475333054,0.6083248959006148,-0.02171399957441705,0.3250295881939323,SP/RJ,24.8
-24.8,-47.2,496,1.3927898206297429,0.6472511090818914,-0.02532138121713396,0.30317546426750264,SP/RJ,24.8
-24.8,-47.0,500,1.3818188726305962,0.6698611437678338,-0.020116189081388947,0.28392743132450815,SP/RJ,24.8
-24.8,-46.8,519,1.3632648169563686,0.6819829523132718,-0.021590007298836804,0.2609228005771152,SP/RJ,24.8
-24.6,-47.2,488,1.3700910016222567,0.6244653149767488,-0.021049300709173463,0.3436852780245458,SP/RJ,24.6
-24.6,-47.0,511,1.380572183809285,0.6608999211406755,-0.02298497564366758,0.31640828892265227,SP/RJ,24.6
-24.6,-46.8,514,1.365537169410445,0.6718004970090167,-0.022618309612074262,0.28876240925191066,SP/RJ,24.6
-24.6,-46.6,547,1.3555392228107783,0.685273834322009,-0.030649853943612637,0.2666011692910406,SP/RJ,24.6
-24.4,-46.8,535,1.3609555895278387,0.6564807231376105,-0.0233218812549415,0.31949872015607317,SP/RJ,24.4
-24.4,-46.6,551,1.3550578814479919,0.670853493783197,-0.026443361880898603,0.2990738908850793,SP/RJ,24.4
-24.4,-46.4,551,1.3524636785099167,0.6909508387157577,-0.028647947094030853,0.2813790191709819,SP/RJ,24.4
-24.4,-46.2,554,1.342280929366174,0.7040329387579585,-0.02740023905341302,0.266886730765801,SP/RJ,24.4
-24.4,-46.0,557,1.3284715322205793,0.7124489096352827,-0.031406067985091546,0.25106685514580446,SP/RJ,24.4
-24.4,-45.2,506,1.2710124485989804,0.7376124375363585,-0.03589580387844112,0.1628328907927155,SP/RJ,24.4
-24.2,-46.6,549,1.36506802705142,0.6724010076842022,-0.027840957596405532,0.33238900810802496,SP/RJ,24.2
-24.2,-46.4,564,1.3615591262539861,0.6880323981007576,-0.028486224636727266,0.31421776717393723,SP/RJ,24.2
-24.2,-46.2,562,1.3453563024167277,0.6944857288960674,-0.02874656458879318,0.2982348068442503,SP/RJ,24.2
-24.2,-46.0,554,1.3395103419892191,0.7103423918358686,-0.031509644628481076,0.28325348734068884,SP/RJ,24.2
-24.2,-45.8,574,1.3365993974905606,0.7292671201925868,-0.0337352671696227,0.26740102335825033,SP/RJ,24.2
-24.2,-45.6,570,1.310455270265801,0.7246897654287648,-0.03740743156900847,0.24666822964771973,SP/RJ,24.2
-24.2,-45.4,568,1.3023282776940879,0.7375634800065571,-0.03606162414866877,0.22202835978208743,SP/RJ,24.2
-24.2,-45.2,530,1.2864270846461352,0.7405890743350084,-0.03479096585638598,0.1974349595510142,SP/RJ,24.2
-24.2,-45.0,507,1.2656290464029747,0.7340653352365927,-0.03148153010020052,0.16451151098910718,SP/RJ,24.2
-24.0,-46.4,624,1.305863803971368,0.6293294612055598,-0.030695966672543776,0.3431949702648027,SP/RJ,24.0
-24.0,-46.2,588,1.3014238639221507,0.6461134477005321,-0.028873145603057995,0.3342555581451728,SP/RJ,24.0
-24.0,-46.0,590,1.3468167158506685,0.7056699248693757,-0.032865679656324316,0.3182096968194964,SP/RJ,24.0
-24.0,-45.8,601,1.324747962436442,0.7021320051763101,-0.034088896184565586,0.304355474807379,SP/RJ,24.0
-24.0,-45.6,599,1.3035188009175713,0.7036507417592461,-0.03851367929599444,0.2896321731746658,SP/RJ,24.0
-24.0,-45.4,581,1.3143711835710192,0.7404541045991567,-0.03722471799740648,0.28173015007892516,SP/RJ,24.0
-24.0,-45.2,564,1.2941204684793106,0.7416123407899489,-0.04049993557667213,0.25207121179376835,SP/RJ,24.0
-24.0,-45.0,541,1.2733078007804928,0.7303757433998166,-0.03848101138751801,0.20873504628924208,SP/RJ,24.0
-24.0,-44.8,519,1.2645831586165008,0.7308759571356351,-0.03261189086347726,0.17507852016093145,SP/RJ,24.0
