grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-28.8,-48.6,12053,0.444776,1.97,0.091007,2.04,0.101474,2.12,0.112002,2.2,0.124279,2.3,0.137136,2.41,0.15158,2.54,0.167376,2.7,0.188509,2.96,0.215826,3.37,0.262652,4.2748,0.361943
-28.8,-48.4,12053,0.444843,2.03,0.102836,2.1,0.111608,2.19,0.120075,2.28,0.130205,2.38,0.140285,2.5,0.151982,2.64,0.164148,2.82,0.179601,3.08,0.200776,3.534,0.236696,4.51,0.308629
-28.6,-48.8,12053,0.441854,1.64,0.068263,1.7,0.085095,1.76,0.103653,1.84,0.122106,1.91,0.144979,2.0,0.168974,2.1,0.197657,2.24,0.232962,2.45,0.279791,2.76,0.356621,3.46,0.511988
-28.6,-48.6,12053,0.446283,1.82,0.082864,1.88,0.095371,1.95,0.107462,2.03,0.122025,2.114,0.138151,2.22,0.156367,2.33,0.176088,2.48,0.202409,2.71,0.236073,3.08,0.293341,3.85,0.41232
-28.6,-48.4,12053,0.448277,1.95,0.096377,2.02,0.105895,2.1,0.115681,2.18,0.127001,2.28,0.139045,2.39,0.152494,2.52,0.167774,2.69,0.185734,2.95,0.212027,3.37,0.252974,4.27,0.338439
-28.4,-48.6,12053,0.447478,1.6,0.076246,1.66,0.091628,1.72,0.106792,1.78,0.122704,1.85,0.141916,1.93,0.162505,2.03,0.186007,2.16,0.217172,2.34,0.256445,2.61,0.323064,3.2,0.459957
-28.4,-48.4,12053,0.451957,1.86,0.091616,1.93,0.101963,2.0,0.113593,2.08,0.125986,2.17,0.1398,2.28,0.154862,2.4,0.172643,2.56,0.194803,2.81,0.224089,3.2,0.27258,3.99,0.375002
-28.2,-48.6,12053,0.449557,1.47,0.072682,1.52,0.089662,1.57,0.106434,1.64,0.123866,1.7,0.144443,1.78,0.167364,1.87,0.193693,1.99,0.227318,2.14,0.271338,2.39,0.344981,2.92,0.497254
-28.2,-48.4,12053,0.455688,1.72,0.086722,1.79,0.098529,1.85,0.112124,1.93,0.125365,2.01,0.140553,2.11,0.158403,2.23,0.177739,2.37,0.202804,2.58,0.235924,2.91,0.292639,3.6048,0.407737
-28.2,-48.2,12053,0.459175,1.87,0.098931,1.95,0.108157,2.02,0.118289,2.11,0.129262,2.21,0.140941,2.32,0.154362,2.45,0.168871,2.62,0.186897,2.87,0.213064,3.28,0.253358,4.09,0.338121
