municipality_code,municipality_name,state,pop_municipality,dom_municipality,pop_1km,dom_1km,pop_2km,dom_2km,pop_5km,dom_5km,pop_10km,dom_10km
2607901,Jaboatão dos Guararapes,PE,644201,235440,37533,14265,98479,36843,323288,118339,521717,190813
2610707,Paulista,PE,341519,124212,24110,9104,96913,35838,205970,75256,340942,124023
2607604,Ilha de Itamaracá,PE,24012,7803,15094,5328,22673,7326,24012,7803,24012,7803
2507507,João Pessoa,PB,832386,296270,141839,52462,257777,94685,589156,211655,832386,296270
2504603,Conde,PB,27734,9018,4043,1460,6997,2399,9728,3269,13268,4397
2513703,Santa Rita,PB,148951,49274,678,240,2112,715,29201,9696,138679,45975
2508604,Lucena,PB,12403,3881,8442,2678,10954,3467,11718,3680,12403,3881
2509057,Marcação,PB,8751,2693,1347,444,2272,720,3404,1049,8001,2472
2501401,Baía da Traição,PB,9242,2801,5735,1811,6720,2113,8470,2588,9242,2801
2402204,Canguaretama,RN,29258,9062,141,50,876,301,2465,806,2753,897
2413201,Senador Georgino Avelino,RN,4065,1256,1089,360,1302,429,4065,1256,4065,1256
2408201,Nísia Floresta,RN,31868,9870,3297,1136,4865,1671,13811,3952,21251,6403
2403251,Parnamirim,RN,252371,90063,319,116,4035,1415,18404,6925,115400,43002
2402600,Ceará-Mirim,RN,79575,25150,2307,776,3345,1118,4204,1409,9260,2982
2408953,Rio do Fogo,RN,9870,2995,3633,1126,6577,1987,7086,2155,9533,2891
2401859,Caiçara do Norte,RN,6256,1967,5687,1790,5687,1790,5694,1792,5694,1792
2404507,Guamaré,RN,14665,4727,22,10,3163,1066,9355,3012,9843,3166
2411056,Tibau,RN,5827,2005,0,0,469,147,4752,1604,5063,1730
2304459,Fortim,CE,17488,6019,139,59,2484,826,6353,2133,15807,5444
2304400,Fortaleza,CE,2427546,860694,161450,58518,363289,131952,898169,324022,1675622,599538
2312403,São Gonçalo do Amarante,CE,53955,17913,3827,1246,8891,2925,17576,5775,22668,7457
2310209,Paracuru,CE,38921,12969,6,1,119,39,19399,6511,33006,11029
2207702,Parnaíba,PI,162156,51609,929,286,1042,320,9534,3023,112123,36166
2204659,Ilha Grande,PI,9423,2829,62,23,62,23,267,83,8680,2606
2108058,Paulino Neves,MA,17355,4518,47,12,188,54,7728,2119,8954,2432
2110278,Santo Amaro do Maranhão,MA,13561,3452,0,0,192,55,756,208,1060,269
2101103,Axixá,MA,12102,3454,443,139,746,228,6200,1799,11670,3344
2109601,Rosário,MA,38345,12082,0,0,218,61,1660,501,20520,6430
2101251,Bacabeira,MA,16990,5307,0,0,0,0,72,27,5775,1776
2110203,Santa Rita,MA,36789,11254,0,0,0,0,0,0,4,2
2107506,Paço do Lumiar,MA,145384,47855,89,33,1737,538,32905,10977,145384,47855
2111201,São José de Ribamar,MA,243840,80925,29985,9023,54152,16921,119536,38799,243840,80925
2111300,São Luís,MA,1038019,349169,117287,40923,243785,83593,599875,205230,1038019,349169
2102408,Cajapió,MA,10057,3125,2541,830,3761,1229,4439,1429,7299,2289
2111003,São João Batista,MA,18979,6046,9,2,38,9,388,124,1303,404
2101350,Bacurituba,MA,5272,1750,273,84,417,125,894,271,2503,824
2100204,Alcântara,MA,18355,6258,7502,2526,9375,3150,14623,4951,18298,6242
2101905,Bequimão,MA,19566,6730,255,88,477,176,1919,707,11618,3953
2109056,Porto Rico do Maranhão,MA,6050,1901,597,172,2233,682,3242,1026,5578,1767
2111789,Serrano do Maranhão,MA,10137,3120,0,0,25,9,1950,563,2892,836
2112407,Turiaçu,MA,37274,10170,6391,1932,12968,3828,21560,6097,25437,7065
2102606,Cândido Mendes,MA,19940,5689,474,153,1380,429,1437,447,4371,1285
2102903,Carutapera,MA,24161,7042,1480,445,15412,4484,18637,5471,21233,6202
1506203,Salinópolis,PA,44759,13524,33742,10089,40956,12339,43832,13223,44759,13524
1504109,Magalhães Barata,PA,7974,2461,676,201,1485,451,1963,573,4235,1310
1504406,Marapanim,PA,26801,8468,14343,4550,17012,5359,18746,5912,19274,6077
1502608,Colares,PA,12916,4021,4201,1313,7040,2205,11772,3647,12916,4021
2605459,Fernando de Noronha,PE,3161,909,2834,816,3161,909,3161,909,3161,909
4207007,Içara,SC,59141,21163,0,0,0,0,24,7,9870,3466
